Run_Order,Location,Date,Li7,Be9,Mg24,Al27,Si29,P31,Ca43,Ca44,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Zn66,As75,Se78,Rb85,Sr88,Mo95,Cd111,Sb121,Cs133,Ba137,Ba138,Hg202,Pb208,Bi209,Th232,U238,S34,Br79,Sn118
38,Middle,20-Feb-11,-0.016982509,0.001599797,-47.94056439,78.31061151,-3351.240005,1.10477835,133.2747471,118.1155035,1.41554006,0.053392126,0.071821291,0.499428612,37.46557747,0.003313562,0.046106453,37.64792436,1.039010868,1.117923905,0.059192098,0.104288797,-0.00484026,0.271270184,0.024015377,0.002592384,0.211056073,-0.000092529,0.728645349,0.94967958,0.018710058,0.00068726,0.003174434,0.009627926,0.001411525,42.70469522,0.258991169,0.023107815
39,Middle,26-Feb-11,-0.029475494,0.004278683,-20.52193836,87.81770455,-3032.687421,1.754690318,211.2084032,244.814833,0.600202019,0.029762071,0.074778155,0.318031448,20.07060087,0.002265889,0.081941753,61.00128037,1.178908821,1.176461087,0.029490468,0.113284388,-0.018673757,0.436834007,0.048666716,0.007034571,0.269982974,0.000222993,1.466425006,1.371894873,0.025876197,0.080174766,0.010637846,0.004480609,0.000410357,97.75528083,0.420125552,0.032934524
43,Northern,4-Mar-11,0.102200775,0.003107713,316.6025526,201.211182,10064.4617,1.405283216,885.5498096,902.3858129,3.171788753,0.103804837,0.223952785,0.884649969,37.50678205,0.011804513,0.160629182,16.29506525,1.870599611,1.720184279,0.054748807,-0.153165092,0.180571909,1.226258715,0.038689078,0.005475741,0.111663361,0.008955769,2.656249806,2.876494904,0.006148978,0.607357135,0.03392171,0.011181106,0.007797109,79.70708507,0.029443783,0.087035193
44,Northern,10-Mar-11,0.11419481,0.001347175,337.6459706,144.7469711,13059.39722,0.932530299,717.4876763,816.6682315,0.893585372,0.023423984,0.164897584,0.352603456,15.91466985,0.004497043,0.060228157,15.37380106,1.035209718,0.988125759,0.048634439,-0.091912168,0.15195337,0.841623219,0.028292738,0.004700736,0.052947962,0.009673507,1.42860726,1.730002607,0.016360682,0.154027032,0.032673399,0.008647632,0.006324962,103.8238183,0.07183158,0.049643576
45,Northern,16-Mar-11,0.105997439,0.003300472,324.8106335,125.3658255,10500.32732,1.167291704,736.7438021,723.7648031,1.299419832,0.039817841,0.155092844,0.445645151,22.67935801,0.014468197,0.090738231,9.316428355,1.269362033,1.227433662,0.07053605,0.014499972,0.154874925,0.813102848,0.029557637,0.005422292,0.178810521,0.009077678,1.829225671,1.921258105,0.007864123,0.39686256,0.056851725,0.006733922,0.008525657,89.25490752,0.021358583,0.042853595
46,Northern,22-Mar-11,0.137575202,0.00426427,364.2781197,226.844303,11563.57854,13.72093227,978.4107766,1027.533691,4.028970835,0.260905728,0.28471889,1.892255628,52.06359495,0.020098106,0.324494975,18.59852857,2.33053063,1.973993954,0.099759088,0.047620429,0.230073902,1.688243544,0.049313798,0.016282635,0.213680464,0.016669811,2.979113715,3.392934837,0.009133313,0.670358075,0.053213565,0.013654987,0.009619623,250.8647268,0.437584096,0.055631901
47,Northern,28-Mar-11,0.110769615,0.002966356,309.8613754,140.6454166,9859.121995,2.002942096,686.4543251,712.0080576,1.135649147,0.036692155,0.169496229,0.273135789,13.51918595,0.003488575,0.116347624,11.97991152,0.954296528,0.935473984,0.071120929,-0.049877381,0.122234871,0.855120577,0.047396305,0.004832302,0.121766506,0.007730097,1.732649888,1.846571476,0.009353057,0.316397276,0.038634044,0.005580961,0.007572801,324.5900176,0.23525215,0.056443513
49,Southern,4-Mar-11,0.088506459,0.004110063,233.4141146,161.3610434,8227.6716,1.226482785,698.7918341,764.885716,2.363835955,1.898124994,0.410968368,0.60570849,34.42821506,0.00947326,0.726278322,37.81810697,1.068982588,1.099250201,0.052568941,-0.115200383,0.1461082,1.373908607,0.018825413,0.004963867,0.038000613,0.00861405,1.027080359,1.142753454,0.014809114,0.189479758,0.022716893,0.01183835,0.00932464,148.7920157,0.323911667,0.028790717
50,Southern,10-Mar-11,0.118948412,0.002304548,401.0239458,184.719102,12492.68005,2.98958729,897.4755585,930.037458,1.710097129,0.069992607,0.148815295,0.442814681,17.37477816,0.005987704,0.125222242,28.37706693,1.373055577,1.233440326,0.058244649,-0.079038715,0.165830586,1.132317345,0.019995966,0.005531245,0.067270636,0.009315924,1.331213648,1.55944931,0.014292064,0.926049208,0.048442328,0.007066073,0.00819046,186.8628134,0.279053594,0.030607457
51,Southern,16-Mar-11,0.031914643,0.001668441,174.2744929,108.0779252,2004.317284,1.444254334,403.8065508,449.4649056,1.451516124,0.082631611,0.087923947,0.219850878,14.68659232,0.003335493,0.061444746,17.17487606,0.435770916,0.422678216,0.032342887,-0.014994231,0.083689568,0.456472609,0.008672258,0.003004771,0.114477911,0.003228298,0.461353035,0.514804152,0.008701088,0.115659218,0.013609659,0.006402242,0.003558982,31.3361633,0.045747614,0.015478847
52,Southern,22-Mar-11,0.142743882,0.003750245,376.4159669,258.2655229,9521.352042,8.017649976,1129.948167,1223.237787,4.784891138,0.317628671,0.451369679,1.53282505,85.99159635,0.02406042,0.517562721,20.50253687,1.88046324,1.960762778,0.133143416,0.032356372,0.35329796,2.803704733,0.042956632,0.011513376,0.206704206,0.032493638,2.208597353,2.150197906,0.006910005,0.728591375,0.043236711,0.039494536,0.017786444,336.3071021,0.541191497,0.058225846
53,Southern,28-Mar-11,0.079106657,0.004090787,259.8153213,135.5175502,7900.933661,3.602207671,659.2841937,712.4655417,0.909902371,0.068933546,0.096462473,0.280684163,8.798289982,0.003256386,0.127193955,20.32965515,0.926928952,0.852749896,0.045160977,-0.124765321,0.107502474,2.311308897,0.015484631,0.003790054,0.054869,0.005150841,0.849203033,1.031998805,0.00970771,0.256755534,0.029351493,0.00557704,0.004954193,264.5833267,0.271819467,0.035349283
55,Middle,4-Mar-11,0.052768637,0.001822649,235.5298017,151.1795669,4168.025949,0.71128702,599.3153348,660.6027214,1.568378829,0.060288012,0.128815743,0.285033034,15.60848665,0.003854824,0.084498921,54.01998583,0.64895268,0.601692416,0.025342249,-0.091796168,0.094969998,0.89515859,0.023721805,0.00192552,0.062760385,0.00576039,0.873612656,1.013909782,0.014142184,0.154886883,0.019587761,0.019439869,0.004075263,55.51428695,0.269460984,0.026529661
56,Middle,10-Mar-11,0.067864445,0.001019484,231.803877,102.5981524,7306.887993,0.482413567,503.5619843,524.9750667,0.581437911,0.018161304,0.067320255,0.150828181,6.231443298,0.002431193,0.001042428,26.97679168,0.539381758,0.361923521,0.029249894,-0.110197263,0.08122118,0.708508251,0.012949889,0.001633609,0.014418321,0.006104253,0.540391762,0.653934289,0.014574802,0.164222477,0.021677098,0.003843833,0.004545551,19.63388791,0.107118681,0.015093912
57,Middle,16-Mar-11,0.040444721,0.001989707,201.2129066,138.4245803,3846.365109,1.92696463,570.3178417,613.8284817,1.333133034,0.041026278,0.177990617,0.284150444,19.12343874,0.003994017,0.136831325,107.0895538,0.632882241,0.604598275,0.042688671,-0.065449089,0.098028877,0.719021691,0.047189205,0.003862004,0.17669873,0.005328489,1.200137635,1.66952259,0.019139341,0.291022147,0.025969936,0.004572276,0.003100976,52.63230394,0.168579904,0.058792769
58,Middle,22-Mar-11,0.089636615,0.004579111,251.9337966,181.7441929,7185.055228,11.77653481,735.3008303,727.9509331,2.298669768,0.345069902,0.259482347,1.141962533,43.89627969,0.018706481,0.398771749,148.3962777,3.0414494,3.178216677,0.096416925,0.088220349,0.229348835,1.674962039,0.055528664,0.024429435,0.184048389,0.011515587,2.507889095,2.857109218,0.009440696,0.107473182,0.038125337,0.013506946,0.008012266,390.9160153,2.318146774,0.058979648
